Gene	Comparison	Domain	GO.ID	Term	Annotated	Significant	Expected	pval	-log10(pvalue)	Fold.Enrichment	log10(FE)
Adamts3	hom_vs_het_wt	BP	GO:0051235	maintenance of location	193	3	2.52	0.02200	1.65757731917779	1.19047619047619	0.0757207139381183
Adamts3	hom_vs_het_wt	BP	GO:0010629	negative regulation of gene expression	895	20	11.68	0.02285	1.64111379559413	1.71232876712329	0.2335871528876
Adamts3	hom_vs_het_wt	BP	GO:0034968	histone lysine methylation	84	5	1.1	0.02315	1.63544900464603	4.54545454545454	0.657577319177794
Adamts3	hom_vs_het_wt	BP	GO:0071417	cellular response to organonitrogen comp...	261	4	3.41	0.02326	1.63339028960757	1.17302052785924	0.0693056123354646
Adamts3	hom_vs_het_wt	BP	GO:0014065	phosphatidylinositol 3-kinase signaling	56	5	0.73	0.02329	1.63283051146532	6.84931506849315	0.835647144215563
Adamts3	hom_vs_het_wt	BP	GO:0008406	gonad development	136	3	1.78	0.02377	1.62397081827182	1.68539325842697	0.226701252410768
Adamts3	hom_vs_het_wt	BP	GO:0010467	gene expression	3583	48	46.77	0.02387	1.62214758099325	1.02629890955741	0.011273867467083
Adamts3	hom_vs_het_wt	BP	GO:1901700	response to oxygen-containing compound	803	12	10.48	0.02429	1.61457248519487	1.14503816793893	0.0588199633999169
Adamts3	hom_vs_het_wt	BP	GO:0046039	GTP metabolic process	352	13	4.59	0.02447	1.61136603064821	2.8322440087146	0.452130666769576
Adamts3	hom_vs_het_wt	BP	GO:0007568	aging	197	3	2.57	0.02458	1.60941812144956	1.16731517509728	0.0671881313883679
Adamts3	hom_vs_het_wt	BP	GO:0051094	positive regulation of developmental pro...	648	17	8.46	0.02465	1.60818307638675	2.00945626477541	0.30307855833925
Adamts3	hom_vs_het_wt	BP	GO:0009966	regulation of signal transduction	1473	26	19.23	0.02492	1.60345196201287	1.35205408216329	0.130994063732338
Adamts3	hom_vs_het_wt	BP	GO:0043434	response to peptide hormone	198	4	2.58	0.02498	1.60240756596188	1.55038759689922	0.190440285364732
Adamts3	hom_vs_het_wt	BP	GO:0001570	vasculogenesis	65	9	0.85	0.02517	1.59911678445164	10.5882352941176	1.02482358372503
Adamts3	hom_vs_het_wt	BP	GO:0045137	development of primary sexual characteri...	140	3	1.83	0.02521	1.59842715432355	1.63934426229508	0.214670164989233
Adamts3	hom_vs_het_wt	BP	GO:0070997	neuron death	223	4	2.91	0.02534	1.59619338945258	1.3745704467354	0.138167002342055
Adamts3	hom_vs_het_wt	BP	GO:0048754	branching morphogenesis of an epithelial...	125	6	1.63	0.02546	1.59414160068236	3.68098159509202	0.565963645979686
Adamts3	hom_vs_het_wt	BP	GO:0000122	negative regulation of transcription fro...	527	11	6.88	0.02554	1.5927791070726	1.59883720930233	0.203804246922714
Adamts3	hom_vs_het_wt	BP	GO:2000146	negative regulation of cell motility	130	6	1.7	0.02564	1.59108197915322	3.52941176470588	0.54770232900537
Adamts3	hom_vs_het_wt	BP	GO:0060255	regulation of macromolecule metabolic pr...	3471	53	45.31	0.02574	1.58939145743163	1.16971970867358	0.0680818074216032
Adamts3	hom_vs_het_wt	BP	GO:0048634	regulation of muscle organ development	104	3	1.36	0.02594	1.58603002825194	2.20588235294118	0.343582346349445
Adamts3	hom_vs_het_wt	BP	GO:1901861	regulation of muscle tissue development	105	3	1.37	0.02597	1.5855280503707	2.18978102189781	0.340400687563256
Adamts3	hom_vs_het_wt	BP	GO:0018212	peptidyl-tyrosine modification	200	7	2.61	0.02643	1.57790283686829	2.68199233716475	0.428457532675976
Adamts3	hom_vs_het_wt	BP	GO:0048589	developmental growth	265	8	3.46	0.02648	1.57708201923234	2.3121387283237	0.364013888199167
Adamts3	hom_vs_het_wt	BP	GO:0005976	polysaccharide metabolic process	58	3	0.76	0.02663	1.57462883356106	3.94736842105263	0.596307662438871
Adamts3	hom_vs_het_wt	BP	GO:0007519	skeletal muscle tissue development	127	3	1.66	0.02690	1.57024771999759	1.80722891566265	0.257013166679607
Adamts3	hom_vs_het_wt	BP	GO:0043542	endothelial cell migration	107	8	1.4	0.02705	1.56783273055741	5.71428571428571	0.756961951313705
Adamts3	hom_vs_het_wt	BP	GO:0044087	regulation of cellular component biogene...	511	9	6.67	0.02707	1.56751174422949	1.34932533733133	0.130116675522776
Adamts3	hom_vs_het_wt	BP	GO:0060840	artery development	70	4	0.91	0.02721	1.56527145822024	4.3956043956044	0.643018599006869
Adamts3	hom_vs_het_wt	BP	GO:0051246	regulation of protein metabolic process	1377	18	17.97	0.02727	1.56431486205837	1.0016694490818	0.00072442799433225
Adamts3	hom_vs_het_wt	BP	GO:0032989	cellular component morphogenesis	886	23	11.56	0.02783	1.55548679366596	1.98961937716263	0.298770001933083
Adamts3	hom_vs_het_wt	BP	GO:0035051	cardiocyte differentiation	108	4	1.41	0.02796	1.55346283292636	2.83687943262411	0.452840878672582
Adamts3	hom_vs_het_wt	BP	GO:0006468	protein phosphorylation	946	15	12.35	0.02819	1.5499049241284	1.21457489878543	0.0844243014599967
Adamts3	hom_vs_het_wt	BP	GO:0014070	response to organic cyclic compound	483	8	6.3	0.02823	1.54928912185308	1.26984126984127	0.103749437538362
Adamts3	hom_vs_het_wt	BP	GO:0071310	cellular response to organic substance	1027	21	13.4	0.02843	1.54622314030956	1.56716417910448	0.195114496369112
Adamts3	hom_vs_het_wt	BP	GO:0061448	connective tissue development	164	3	2.14	0.02846	1.54576510425173	1.4018691588785	0.146707481370472
Adamts3	hom_vs_het_wt	BP	GO:0023051	regulation of signaling	1643	31	21.45	0.02876	1.54121111828916	1.44522144522145	0.15993439731353
Adamts3	hom_vs_het_wt	BP	GO:0006928	cellular component movement	961	33	12.54	0.02980	1.52578373592374	2.63157894736842	0.42021640338319
Adamts3	hom_vs_het_wt	BP	GO:1901652	response to peptide	217	4	2.83	0.03020	1.51999305704285	1.41342756183746	0.150273555803672
Adamts3	hom_vs_het_wt	BP	GO:0048583	regulation of response to stimulus	1828	30	23.86	0.03041	1.51698357985587	1.25733445096396	0.0994508153853393
Adamts3	hom_vs_het_wt	BP	GO:0009144	purine nucleoside triphosphate metabolic...	489	13	6.38	0.03097	1.50905879464321	2.03761755485893	0.309122673585674
Adamts3	hom_vs_het_wt	BP	GO:0060021	palate development	70	3	0.91	0.03126	1.50501102631683	3.2967032967033	0.518079862398569
Adamts3	hom_vs_het_wt	BP	GO:0016568	chromatin modification	470	14	6.13	0.03133	1.50403960511829	2.28384991843393	0.358667561159823
Adamts3	hom_vs_het_wt	BP	GO:0001932	regulation of protein phosphorylation	646	14	8.43	0.03152	1.50141379118248	1.66073546856465	0.220300461053496
Adamts3	hom_vs_het_wt	BP	GO:0021915	neural tube development	158	4	2.06	0.03173	1.49852992789959	1.94174757281553	0.288192770958809
Adamts3	hom_vs_het_wt	BP	GO:0045766	positive regulation of angiogenesis	57	4	0.74	0.03191	1.49607319580649	5.40540540540541	0.732828271596986
Adamts3	hom_vs_het_wt	BP	GO:0048666	neuron development	631	17	8.24	0.03216	1.49268395992359	2.0631067961165	0.314521709681158
Adamts3	hom_vs_het_wt	BP	GO:0009790	embryo development	785	23	10.25	0.03263	1.48638292621213	2.24390243902439	0.35100397062582
Adamts3	hom_vs_het_wt	BP	GO:1901214	regulation of neuron death	195	4	2.55	0.03277	1.48452355861762	1.56862745098039	0.195519810894007
Adamts3	hom_vs_het_wt	BP	GO:0016337	single organismal cell-cell adhesion	210	8	2.74	0.03296	1.48201279697492	2.91970802919708	0.465339424171556
Adamts3	hom_vs_het_wt	BP	GO:0009892	negative regulation of metabolic process	1425	26	18.6	0.03342	1.47599355444263	1.39784946236559	0.145460403752902
Adamts3	hom_vs_het_wt	BP	GO:0007169	transmembrane receptor protein tyrosine ...	315	9	4.11	0.03367	1.47275688361191	2.18978102189781	0.340400687563256
Adamts3	hom_vs_het_wt	BP	GO:0042306	regulation of protein import into nucleu...	109	3	1.42	0.03417	1.46635502120124	2.11267605633803	0.324832910336606
Adamts3	hom_vs_het_wt	BP	GO:0065008	regulation of biological quality	1875	32	24.47	0.03525	1.45284087867258	1.30772374335922	0.116516008968117
Adamts3	hom_vs_het_wt	BP	GO:0050793	regulation of developmental process	1383	34	18.05	0.03531	1.4521022824369	1.88365650969529	0.275001710800578
Adamts3	hom_vs_het_wt	BP	GO:0044702	single organism reproductive process	590	10	7.7	0.03535	1.45161058186708	1.2987012987013	0.113509274827518
Adamts3	hom_vs_het_wt	BP	GO:0016571	histone methylation	106	5	1.38	0.03537	1.45136494018525	3.6231884057971	0.559090917934782
Adamts3	hom_vs_het_wt	BP	GO:0010562	positive regulation of phosphorus metabo...	530	12	6.92	0.03595	1.4443011052811	1.73410404624277	0.239075151590867
Adamts3	hom_vs_het_wt	BP	GO:0045937	positive regulation of phosphate metabol...	530	12	6.92	0.03595	1.4443011052811	1.73410404624277	0.239075151590867
Adamts3	hom_vs_het_wt	BP	GO:0048872	homeostasis of number of cells	190	3	2.48	0.03619	1.4414114168918	1.20967741935484	0.0826695738934462
Adamts3	hom_vs_het_wt	BP	GO:0030705	cytoskeleton-dependent intracellular tra...	100	8	1.31	0.03670	1.43533393574791	6.10687022900763	0.785818691336179
Adamts3	hom_vs_het_wt	BP	GO:0071345	cellular response to cytokine stimulus	245	6	3.2	0.03682	1.433916215832	1.875	0.273001272063738
Adamts3	hom_vs_het_wt	BP	GO:0001944	vasculature development	419	20	5.47	0.03696	1.43226803745193	3.6563071297989	0.56304266933055
Adamts3	hom_vs_het_wt	BP	GO:0010646	regulation of cell communication	1659	31	21.65	0.03753	1.42562143558692	1.43187066974596	0.155903793144888
Adamts3	hom_vs_het_wt	BP	GO:0042327	positive regulation of phosphorylation	490	11	6.4	0.03797	1.4205594028602	1.71875	0.235212711174338
Adamts3	hom_vs_het_wt	BP	GO:0021955	central nervous system neuron axonogenes...	27	3	0.35	0.03814	1.41861931129001	8.57142857142857	0.933053210369387
