Gene	Comparison	Set	Term ID	Description	Annotated	Expected	Observed	Fold Enrichment	Adjusted p value	-log10(pvalue)
Psph	hom_vs_het_wt	ko_response	EMAPA:16549	pharyngeal region	8	0.18	4	22.47	1.03e-03	2.98716277529483
Psph	hom_vs_het_wt	ko_response	EMAPA:16400	3rd branchial arch ectoderm	15	0.33	5	14.98	1.05e-03	2.97881070093006
Psph	hom_vs_het_wt	ko_response	EMAPA:16183	trunk paraxial mesenchyme	595	13.24	37	2.79	1.09e-03	2.96257350205938
Psph	hom_vs_het_wt	ko_response	EMAPA:17417	forearm	228	5.07	19	3.74	1.18e-03	2.92811799269387
Psph	hom_vs_het_wt	ko_response	EMAPA:16976	midbrain lateral wall	1126	25.06	57	2.27	1.27e-03	2.89619627904404
Psph	hom_vs_het_wt	ko_response	EMAPA:35191	branchial pouch endoderm	24	0.53	6	11.23	1.31e-03	2.88272870434424
Psph	hom_vs_het_wt	ko_response	EMAPA:16277	2nd branchial arch ectoderm	24	0.53	6	11.23	1.53e-03	2.8153085691824
Psph	hom_vs_het_wt	ko_response	EMAPA:31159	sclerotome	106	2.36	12	5.09	1.54e-03	2.81247927916354
Psph	hom_vs_het_wt	ko_response	EMAPA:16587	3rd branchial pouch endoderm	16	0.36	5	14.04	1.56e-03	2.80687540164554
Psph	hom_vs_het_wt	ko_response	EMAPA:32886	alimentary system mesenchyme	410	9.13	28	3.07	1.62e-03	2.79048498545737
Psph	hom_vs_het_wt	ko_response	EMAPA:35906	vein	49	1.09	8	7.34	1.62e-03	2.79048498545737
Psph	hom_vs_het_wt	ko_response	EMAPA:16074	non-neural ectoderm	564	12.55	34	2.71	1.74e-03	2.7594507517174
Psph	hom_vs_het_wt	ko_response	EMAPA:16337	bulbus cordis caudal half cardiac muscle	4	0.09	3	33.70	1.80e-03	2.74472749489669
Psph	hom_vs_het_wt	ko_response	EMAPA:16860	tail somite	137	3.05	14	4.59	1.85e-03	2.73282827159699
Psph	hom_vs_het_wt	ko_response	EMAPA:16768	4th branchial arch ectoderm	4	0.09	3	33.70	1.85e-03	2.73282827159699
Psph	hom_vs_het_wt	ko_response	EMAPA:32826	respiratory system epithelium	278	6.19	21	3.39	1.88e-03	2.72584215073632
Psph	hom_vs_het_wt	ko_response	EMAPA:16905	diencephalon lateral wall	963	21.43	50	2.33	1.88e-03	2.72584215073632
Psph	hom_vs_het_wt	ko_response	EMAPA:16096	surface ectoderm	430	9.57	28	2.93	1.92e-03	2.71669877129645
Psph	hom_vs_het_wt	ko_response	EMAPA:16095	future spinal cord neural plate	94	2.09	11	5.26	1.92e-03	2.71669877129645
Psph	hom_vs_het_wt	ko_response	EMAPA:32796	future pituitary	79	1.76	10	5.69	2.09e-03	2.67985371388895
Psph	hom_vs_het_wt	ko_response	EMAPA:16213	dorsal mesocardium	10	0.22	4	17.97	2.20e-03	2.65757731917779
Psph	hom_vs_het_wt	ko_response	EMAPA:36561	mesangium	18	0.40	5	12.48	2.25e-03	2.64781748188864
Psph	hom_vs_het_wt	ko_response	EMAPA:36562	glomerular mesangium	18	0.40	5	12.48	2.25e-03	2.64781748188864
Psph	hom_vs_het_wt	ko_response	EMAPA:16117	branchial arch	1053	23.44	53	2.26	2.49e-03	2.60380065290426
Psph	hom_vs_het_wt	ko_response	EMAPA:16906	diencephalon lateral wall mantle layer	508	11.31	31	2.74	2.61e-03	2.58335949266172
Psph	hom_vs_het_wt	ko_response	EMAPA:35247	cochlea epithelium	67	1.49	9	6.04	2.63e-03	2.58004425151024
Psph	hom_vs_het_wt	ko_response	EMAPA:28120	pelvic smooth muscle	54	1.20	8	6.66	2.97e-03	2.52724355068279
Psph	hom_vs_het_wt	ko_response	EMAPA:17489	leg	536	11.93	32	2.68	3.05e-03	2.51570016065321
Psph	hom_vs_het_wt	ko_response	EMAPA:16165	neural tube floor plate	66	1.47	9	6.13	3.08e-03	2.51144928349956
Psph	hom_vs_het_wt	ko_response	EMAPA:17499	upper leg	444	9.88	28	2.83	3.11e-03	2.50723961097316
Psph	hom_vs_het_wt	ko_response	EMAPA:17424	upper arm	400	8.90	26	2.92	3.24e-03	2.48945498979339
Psph	hom_vs_het_wt	ko_response	EMAPA:35593	neural plate	250	5.56	19	3.41	3.25e-03	2.48811663902113
Psph	hom_vs_het_wt	ko_response	EMAPA:32696	lobar bronchus	55	1.22	8	6.54	3.25e-03	2.48811663902113
Psph	hom_vs_het_wt	ko_response	EMAPA:17618	atrioventricular endocardial cushion	30	0.67	6	8.99	3.27e-03	2.48545224733971
Psph	hom_vs_het_wt	ko_response	EMAPA:16820	common atrial chamber right part	11	0.24	4	16.34	3.31e-03	2.48017200622428
Psph	hom_vs_het_wt	ko_response	EMAPA:37033	stylopod	493	10.97	30	2.73	3.32e-03	2.47886191629596
Psph	hom_vs_het_wt	ko_response	EMAPA:17412	forelimb	2013	44.80	87	1.94	3.40e-03	2.46852108295774
Psph	hom_vs_het_wt	ko_response	EMAPA:16240	venous system	70	1.56	9	5.78	3.40e-03	2.46852108295774
Psph	hom_vs_het_wt	ko_response	EMAPA:17925	upper lip	119	2.65	12	4.53	3.55e-03	2.44977164694491
Psph	hom_vs_het_wt	ko_response	EMAPA:16071	embryo mesoderm	360	8.01	24	3.00	3.68e-03	2.43415218132648
Psph	hom_vs_het_wt	ko_response	EMAPA:28142	renal cortical vasculature	43	0.96	7	7.31	3.72e-03	2.4294570601181
Psph	hom_vs_het_wt	ko_response	EMAPA:32691	bronchus epithelium	57	1.27	8	6.31	3.98e-03	2.40011692792631
Psph	hom_vs_het_wt	ko_response	EMAPA:17598	cochlear duct	104	2.31	11	4.75	4.14e-03	2.3829996588791
Psph	hom_vs_het_wt	ko_response	EMAPA:16290	rhombomere 1	42	0.93	7	7.49	4.15e-03	2.38195190328791
Psph	hom_vs_het_wt	ko_response	EMAPA:17337	heart left ventricle	44	0.98	7	7.15	4.21e-03	2.37571790416433
Psph	hom_vs_het_wt	ko_response	EMAPA:16102	notochordal process	12	0.27	4	14.98	4.26e-03	2.37059040089728
Psph	hom_vs_het_wt	ko_response	EMAPA:36962	otolith organ	122	2.72	12	4.42	4.31e-03	2.36552272983927
Psph	hom_vs_het_wt	ko_response	EMAPA:17580	spinal cord mantle layer	850	18.92	44	2.33	4.47e-03	2.34969247686806
Psph	hom_vs_het_wt	ko_response	EMAPA:30562	cranial mesonephric tubule	22	0.49	5	10.21	4.55e-03	2.34198860334289
Psph	hom_vs_het_wt	ko_response	EMAPA:36959	membranous labyrinth	123	2.74	12	4.38	4.55e-03	2.34198860334289
Psph	hom_vs_het_wt	ko_response	EMAPA:36960	vestibular labyrinth	123	2.74	12	4.38	4.55e-03	2.34198860334289
Psph	hom_vs_het_wt	ko_response	EMAPA:27943	maturing renal corpuscle	218	4.85	17	3.50	4.59e-03	2.33818731446274
Psph	hom_vs_het_wt	ko_response	EMAPA:16839	oral region epithelium	436	9.70	27	2.78	4.70e-03	2.32790214206428
Psph	hom_vs_het_wt	ko_response	EMAPA:35932	venous blood vessel	59	1.31	8	6.09	4.70e-03	2.32790214206428
Psph	hom_vs_het_wt	ko_response	EMAPA:28811	ureteral smooth muscle layer	59	1.31	8	6.09	4.71e-03	2.3269790928711
Psph	hom_vs_het_wt	ko_response	EMAPA:27770	capillary loop renal corpuscle	124	2.76	12	4.35	4.73e-03	2.32513885926219
Psph	hom_vs_het_wt	ko_response	EMAPA:27949	maturing glomerular tuft	201	4.47	16	3.58	5.26e-03	2.27901425584626
Psph	hom_vs_het_wt	ko_response	EMAPA:36751	cranial placode	183	4.07	15	3.68	5.51e-03	2.25884840114821
Psph	hom_vs_het_wt	ko_response	EMAPA:32689	bronchus	560	12.46	32	2.57	5.53e-03	2.2572748686953
Psph	hom_vs_het_wt	ko_response	EMAPA:31450	renal venous system	13	0.29	4	13.82	5.53e-03	2.2572748686953
Psph	hom_vs_het_wt	ko_response	EMAPA:16212	heart mesentery	13	0.29	4	13.82	5.53e-03	2.2572748686953
Psph	hom_vs_het_wt	ko_response	EMAPA:17428	hand	490	10.91	29	2.66	5.76e-03	2.23957751657679
Psph	hom_vs_het_wt	ko_response	EMAPA:17579	spinal cord lateral wall	1153	25.66	55	2.14	5.76e-03	2.23957751657679
Psph	hom_vs_het_wt	ko_response	EMAPA:18326	renal medullary interstitium	93	2.07	10	4.83	6.00e-03	2.22184874961636
Psph	hom_vs_het_wt	ko_response	EMAPA:17363	palatal shelf epithelium	59	1.31	8	6.09	6.00e-03	2.22184874961636
Psph	hom_vs_het_wt	ko_response	EMAPA:17943	upper jaw molar epithelium	23	0.51	5	9.77	6.08e-03	2.21609642072726
Psph	hom_vs_het_wt	ko_response	EMAPA:35987	mesoderm	384	8.55	25	2.93	6.16e-03	2.21041928783557
Psph	hom_vs_het_wt	ko_response	EMAPA:32827	respiratory tract epithelium	62	1.38	8	5.80	6.20e-03	2.20760831050175
Psph	hom_vs_het_wt	ko_response	EMAPA:16171	head paraxial mesenchyme	63	1.40	8	5.71	6.27e-03	2.20273245916928
Psph	hom_vs_het_wt	ko_response	EMAPA:16205	left dorsal aorta	6	0.13	3	22.47	6.27e-03	2.20273245916928
Psph	hom_vs_het_wt	ko_response	EMAPA:16128	1st branchial arch mesenchyme	108	2.40	11	4.58	6.28e-03	2.2020403562628
Psph	hom_vs_het_wt	ko_response	EMAPA:32904	jaw epithelium	206	4.58	16	3.49	6.30e-03	2.20065945054642
Psph	hom_vs_het_wt	ko_response	EMAPA:32865	upper jaw tooth epithelium	35	0.78	6	7.70	6.33e-03	2.19859628998264
Psph	hom_vs_het_wt	ko_response	EMAPA:16145	future prosencephalon floor plate	6	0.13	3	22.47	6.39e-03	2.1944991418416
Psph	hom_vs_het_wt	ko_response	EMAPA:16211	primitive heart tube cardiac muscle	6	0.13	3	22.47	6.39e-03	2.1944991418416
Psph	hom_vs_het_wt	ko_response	EMAPA:17858	ductus arteriosus	14	0.31	4	12.84	6.97e-03	2.15676722190199
Psph	hom_vs_het_wt	ko_response	EMAPA:16131	pericardial component	113	2.52	11	4.37	6.97e-03	2.15676722190199
Psph	hom_vs_het_wt	ko_response	EMAPA:31436	renal arterial system	24	0.53	5	9.36	7.03e-03	2.15304467498018
Psph	hom_vs_het_wt	ko_response	EMAPA:27673	pretubular aggregate	36	0.80	6	7.49	7.24e-03	2.14026143380285
Psph	hom_vs_het_wt	ko_response	EMAPA:16744	mesonephros	573	12.75	32	2.51	7.26e-03	2.13906337929991
Psph	hom_vs_het_wt	ko_response	EMAPA:16514	future diencephalon	77	1.71	9	5.25	7.31e-03	2.13608262304214
Psph	hom_vs_het_wt	ko_response	EMAPA:17909	lower lip	114	2.54	11	4.34	7.34e-03	2.13430394008393
Psph	hom_vs_het_wt	ko_response	EMAPA:16577	nephric duct	257	5.72	18	3.15	7.54e-03	2.12262865413023
Psph	hom_vs_het_wt	ko_response	EMAPA:17581	alar columns	133	2.96	12	4.05	7.70e-03	2.11350927482752
